1.0 479.0 1.0
2.0 266.0 1.0
3.0 277.0 1.0
4.0 554.0 1.0
5.0 1034.0 1.0
6.0 249.0 1.0
7.0 693.0 1.0
8.0 597.0 1.0
9.0 117.0 1.0
10.0 170.0 1.0
11.0 117.0 1.0
12.0 1274.0 1.0
13.0 469.0 1.0
14.0 1174.0 1.0
15.0 693.0 1.0
16.0 1908.0 1.0
17.0 135.0 1.0
18.0 277.0 1.0
19.0 596.0 1.0
20.0 757.0 1.0
21.0 437.0 1.0
22.0 2230.0 1.0
23.0 437.0 1.0
24.0 340.0 1.0
25.0 405.0 1.0
26.0 535.0 1.0
27.0 277.0 1.0
28.0 363.0 1.0
29.0 522.0 1.0
30.0 613.0 1.0
31.0 277.0 1.0
32.0 1300.0 1.0
33.0 821.0 1.0
34.0 213.0 1.0
35.0 1620.0 1.0
36.0 1601.0 1.0
37.0 298.0 1.0
38.0 874.0 1.0
39.0 618.0 1.0
40.0 2640.0 1.0
41.0 5.0 1.0
42.0 149.0 1.0
43.0 1034.0 1.0
44.0 2441.0 1.0
45.0 460.0 1.0
46.0 565.0 1.0
47.0 1119.0 1.0
48.0 437.0 1.0
49.0 927.0 1.0
50.0 4462.0 1.0
51.0 714.0 1.0
52.0 181.0 1.0
53.0 1485.0 1.0
54.0 757.0 1.0
55.0 3154.0 1.0
56.0 2115.0 1.0
57.0 884.0 1.0
58.0 2037.0 1.0
59.0 1481.0 1.0
60.0 559.0 1.0
61.0 490.0 1.0
62.0 593.0 1.0
63.0 1769.0 1.0
64.0 85.0 1.0
65.0 2836.0 1.0
66.0 213.0 1.0
67.0 1866.0 1.0
68.0 490.0 1.0
69.0 1487.0 1.0
70.0 4322.0 1.0
71.0 1418.0 1.0
72.0 1023.0 1.0
73.0 5490.0 1.0
74.0 1520.0 1.0
75.0 3281.0 1.0
76.0 2716.0 1.0
77.0 2175.0 1.0
78.0 3505.0 1.0
79.0 725.0 1.0
80.0 1963.0 1.0
81.0 3979.0 1.0
82.0 1090.0 1.0
83.0 245.0 1.0
84.0 1194.0 1.0
85.0 994.0 1.0
86.0 3902.0 1.0
